"","user_id","age","sex","expect_quota","max_month_repay","occupation","education","marital_status","live_info","local_hk","money_function","company_type","salary","school_type","flow","gross_profit","business_type","business_year","personnel_num","pay_type","product_id","tm_encode","nrows_unique","nrows"
"1","0000e1553a7fa79ba787b84ad21a3005","24",1,15000,1200,2,2,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2,19449721,8,15
"2","00053b46090673d5e479c7f93ced1040","26",1,50000,NA,2,4,1,1,2,8,5,3500,0,0,0,0,0,0,0,1,21597660,3,6
"3","0005aff61586635908ecb002396c5411","30",1,10000,NA,2,2,3,2,1,0,5,3800,0,0,0,0,0,0,0,1,8021818,1,4
"4","0005cd924ff4fc94e9768b52f0e92230","27",1,20000,NA,2,3,1,2,2,2,5,5000,0,0,0,0,0,0,0,1,21160823,2,6
"5","0005e7930a99cea7c0acdfced0f5a321","35",1,50000,5000,2,4,4,0,NA,NA,0,4000,NA,NA,NA,NA,NA,NA,NA,2,20539784,3,6
"6","000687405564046b8c442e3d3e0841d0","25",1,5000,NA,2,4,1,6,4,2,5,4100,0,0,0,0,0,0,0,1,21062819,2,6
"7","0007ed3de90eb6d5ec67d8a9448df09f","34",1,10000,NA,2,4,3,4,3,0,5,6000,0,0,0,0,0,0,0,1,5742111,3,7
"8","0009a9a458c8d143369a82b913be3cd8","26",1,3000,NA,2,4,2,4,4,2,5,8000,0,0,0,0,0,0,0,1,21902705,2,6
"9","000b459c4d58bf138a7ab890a9057735","27",1,10000,NA,2,3,3,1,2,3,2,4200,0,0,0,0,0,0,0,1,21632716,3,6
"10","000bf350cd13933dca68d7cb4c2fcd8a","25",2,5000,NA,4,3,1,4,2,0,0,5000,0,0,0,0,0,0,5,1,20775715,2,6
"11","000cb7f9ac0ba69dbc24ed11a54f1c97","26",1,20000,NA,4,4,1,3,2,0,0,4000,0,0,0,0,0,0,4,1,16995327,2,5
"12","000e93ca5212f978fee769ab61e69e9a","30",2,5000,NA,4,4,2,1,4,0,0,3000,0,0,0,0,0,0,4,1,9537250,3,6
"13","0010a0bc9804552cc125f2bebf6c1188","26",1,10000,NA,4,2,1,3,1,0,0,5000,0,0,0,0,0,0,4,1,20615506,2,7
"14","00126ed66ec9b9db564189c2aad8dfa5","27",1,10000,NA,4,2,3,3,2,0,0,5000,0,0,0,0,0,0,1,1,17938294,2,6
"15","0012bc678c6a5dd3366e8111cab6154d","26",1,15000,NA,4,4,3,3,2,0,0,4500,0,0,0,0,0,0,2,1,17415240,3,7
"16","001310d16c104baf8aa9bbdc6ab11ac1","29",1,1000,NA,4,3,1,3,1,1,0,4000,0,0,0,0,0,0,1,1,21699174,2,6
"17","001cc8b5a781305dbb157d0d30f604a6","27",1,10000,NA,2,4,3,6,2,0,5,6000,0,0,0,0,0,0,0,1,16472205,2,6
"18","001e6ab54e4975ac1f4cc3af8021ca03","34",1,1000,NA,2,3,1,4,2,0,5,3500,0,0,0,0,0,0,0,1,9302118,2,5
"19","001fc011eb21cf67ac9fb443b95c772b","27",2,8000,NA,2,3,2,1,1,2,5,3500,0,12000,0,6,4,1,0,1,22010235,3,7
"20","00246c94fcabb43478dfb62a50943281","30",2,10000,NA,2,3,2,3,3,4,5,3000,0,0,0,0,0,0,0,1,21394224,5,10
"21","00266abfb09bf541a8675d0e53d661f7","35",1,5000,NA,2,3,1,4,3,0,6,8000,0,0,0,0,0,0,0,1,9919515,2,5
"22","0026fc60ce5a4b4d54d5e26ba62d8ad2","26",1,10000,NA,2,4,1,6,1,2,5,4000,0,0,0,0,0,0,0,1,21725544,3,7
"23","0027b2004ee5095cc52b68bd96c8255d","28",1,40000,NA,2,2,3,1,2,0,5,4500,0,0,0,0,0,0,1,1,17404111,4,10
"24","0027b88221bc2ee189b34c83a0e05f66","21",1,20000,NA,2,3,1,3,2,0,3,4000,0,0,0,0,0,0,0,1,20271056,2,6
"25","0029f9a27855a970234edef2e63fdce2","28",1,15000,NA,2,4,3,2,4,3,5,8000,0,0,0,0,0,0,0,1,22192338,2,6
"26","002b1ff59263aa1b55a9a3b17a871b4d","24",1,10000,500,2,4,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2,22175396,2,5
"27","002b5bb03a7c8affe95d6471f102b845","35",2,10000,1200,2,4,3,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2,22255425,2,5
"28","002fb34a98cb5b65df87ffc23d879791","35",2,20000,NA,4,4,3,4,4,0,0,8000,0,0,0,0,0,0,1,1,16967159,2,6
