"","user_id","sum_repay","sum_avlb_bal","mean_borrow_ratio","num_card_type","num_curr","num_cheat","num_default","sum_cost_cnt"
"1","0000e1553a7fa79ba787b84ad21a3005",3,0,0.333333333333333,1,1,1,0,8
"2","0005aff61586635908ecb002396c5411",29,0,0.203571428571429,1,2,0,0,109
"3","0005cd924ff4fc94e9768b52f0e92230",15,0,0.576923076923077,1,1,0,0,8
"4","0005e7930a99cea7c0acdfced0f5a321",29,0,0.153778040141677,1,1,0,0,8
"5","0007ed3de90eb6d5ec67d8a9448df09f",63,16,0.495505617977528,1,1,0,0,227
"6","0009a9a458c8d143369a82b913be3cd8",8,0,0,1,1,0,0,0
"7","000b459c4d58bf138a7ab890a9057735",28,0,0.219298245614035,1,1,0,0,43
"8","000bf350cd13933dca68d7cb4c2fcd8a",27,0,0.212765957446809,1,1,0,0,85
"9","000e93ca5212f978fee769ab61e69e9a",3,0,0.5,1,1,0,0,6
"10","0010a0bc9804552cc125f2bebf6c1188",14,6,0.576923076923077,1,1,0,0,0
"11","001310d16c104baf8aa9bbdc6ab11ac1",1,0,0.25,1,1,0,0,0
"12","00246c94fcabb43478dfb62a50943281",68,1,0.290225417800233,1,2,0,1,282
"13","00266abfb09bf541a8675d0e53d661f7",9,9,0,1,1,0,0,16
"14","0026fc60ce5a4b4d54d5e26ba62d8ad2",18,0,0.414285714285714,1,1,0,0,47
"15","0027b2004ee5095cc52b68bd96c8255d",0,0,0,1,1,0,0,0
"16","0027b88221bc2ee189b34c83a0e05f66",0,0,0,1,1,0,0,0
"17","0029f9a27855a970234edef2e63fdce2",5,0,0.25506379585327,1,1,0,0,66
"18","002b5bb03a7c8affe95d6471f102b845",0,0,0,1,1,0,0,15
"19","002fb34a98cb5b65df87ffc23d879791",6,0,0.5,1,1,0,0,28
"20","0030b4b81ae52c7fc3c0b67ab8f007cd",0,0,0,1,1,1,0,0
"21","003321324da0965216c13de93f8e7b98",3,0,0.361111111111111,1,1,0,0,10
"22","00360a586831e14a53067a41e755f122",11,0,0,1,1,0,0,22
"23","0040972411cf8b40e39147634b2d7038",12,0,0.5,1,1,0,0,57
"24","004459f1570a1551204c4f167c84eec1",22,0,0.152777777777778,1,1,0,0,29
"25","0046388e877e9d701ddf4b295aef7587",40,0,0.673214285714286,1,1,1,0,89
"26","004832995242e9c95413bdba6419f99e",0,0,0,1,1,0,0,0
"27","00503614473df2e17aff6d61183bc995",14,0,0.733333333333333,1,1,0,0,0
"28","0052dadf58d258d8398a4cd41dc2f6ff",82,0,0.26328125,1,1,0,0,95
"29","005949e23c59b10ccb5165fd019652db",0,0,0,1,1,0,0,0
"30","005f0a5e7f428309e755c465741f205f",28,8,0.1,1,1,0,0,33
"31","00603c0cd9c033e5e5d39b0801eb957b",5,0,0.5,1,1,0,0,1
"32","006436d5e63515831299fc6c18add706",10,0,0.0285714285714286,1,1,0,0,4
"33","006ae1babc43475f6f3c07159c92b225",7,0,0.375,1,1,0,0,12
"34","006e9838a1752332e43c1ec18ce1ee18",54,9,0.27027027027027,1,1,0,0,75
"35","0070c20b549b9268f21cd773b266d26b",-5,0,0.46,1,1,1,0,2
"36","00719cafee65d1af206a89c2737bbe38",7,0,0.285714285714286,1,1,0,0,3
"37","0078a94891f9d8707af07955135c109b",61,0,0.217647058823529,1,1,0,0,31
"38","007d1c65ed21f58de6b69a43c2bbac93",63,0,0.147578347578348,1,1,0,0,26
"39","008236bf97e2f5fc1bd91eb163efe389",9,0,0,1,1,0,0,45
"40","0090b5a637966362570f8f864dbaa8b7",14,0,0.285714285714286,1,1,0,0,108
"41","0092555aac81cb8b713dfd2f410ac89a",19,0,0.326086956521739,1,1,0,0,0
