user_id,num_rel
0,fb396d2c26bda092cf6e505774f5783a,453
1,7f71c1e2cc78b0c1363fc557334b056e,93
2,64680c1dad74fa434a907a94478dfc9e,174
3,be435c7b26b1b1fdfe02fab9ce37b90b,424
4,05da15829e49f5911d5b97b2d2a45a68,2661
5,ad750f87408bf88760c19b2e12680775,27
6,19f0e6c17428f6f72f472052f2624b62,291
7,33aba6b1feb607a87174916fb262dcc1,140
8,98217082c8744025564d5da66fd1104d,18
9,1110dd095f9051a8d783c956de5f9a8c,422
10,36044073d98272fc543dbb75ddc14f40,134
11,39d8fba1540d94bbed35ba88b1c46f70,111
12,b6d1ea2576aaf445b3c20d3822d3f71f,95
13,f743ef5591cf9c6af962ae5444a48dd7,47
14,5a55f6b603c406cdf0eb1ff1e95cc791,208
15,f91199e93527f64f529b3fb0469e1797,114
16,b4c20bcb829decd0bf0080f26321439b,155
17,afb5b159f71d4c6c7faa54943e7259a4,222
18,8a9d8e7635a4b3887f66cd1f8451c19a,54
19,56054eee0fdf7ab0dae6387741751349,96
20,9a314620a5f921d4c0756598d24a92b3,295
21,4d7599960c4ea46238a33aed66b1f2d8,639
22,70c776952d66ad27b07de30e7bd9ca91,73
23,9466aa3e65252f34cc27c5cc6bc41fd3,108
24,77aaeb7b91a6844945a1588fc6477ef4,85
25,a21f4153051ef545476a1622880cf16f,74
26,cb12a0f2b575b49614695bb0d0d85b03,425
27,708e17c1e063796b9e2e1a5fd0791328,71
28,ca379999f7a51215e4a7180649741b81,134
29,4807cedcd00d19348c059f71e61e5974,94
30,831faf46616c4cde68a9963d4bfea716,3
31,aaa17df42cafadd7e26ab6d08bcf69f8,227
32,bbf2bb3d2514e505b0fce90ef12720b3,241
33,433f45119f90709eb7d5227da27c515f,84
34,8e3e7369ce5bf158e315406e82139c74,94
35,cdcc5e78aad470f2ef30606fcf911c1f,71
36,fa2ea030bbf25ca8741608f366e9cf01,46
37,2a427af1ed7b33c1e5e22aa55e4939e9,505
38,2957834456122989cb3480733c0a1b75,157
39,599dd3168a7013aa874e20e517f04c0d,134
40,765fccbd926c20ba7ba84a30f1420345,6
41,37a005cee0da254fcfd8c511e3dc9d4d,128
42,9d2ac54f42c4dbe9ba09318e67604ac2,589
43,7ded5ceb2f1051cf039bf00e0fc1fa74,208
44,79f39896a4430bcc151e0716f037e4ba,400
45,f84fdc506c21ced16400d53b951a9112,6145
46,e08e64c3930b208a531ce4ab5631943d,252
47,ac2ff79af64f2d4820cfbd50377298f4,59
48,9c510cc053ca29ae44d624d360b17c88,501
49,0005aff61586635908ecb002396c5411,247
50,70339eec2d6ce0c4c8326a8956843512,347
51,e02935a97f1589c32da47f10894d681c,20
52,3ead7b1c5f995bfcecf9ab5b84f4701f,46
53,6d5a06a47c8444419ba62c23fbd170e1,326
54,813f1919e350ae9c887ff7754019f99e,132
55,59ba680adaebb0bb8cb69e70a58f85a3,175
56,264464d80efef7a3f900728c5e0ffc3b,477
57,8998c8759adba9d38b59651932fac938,168
58,c3fa3cc788721cff9d30813a37853883,604
59,e4bb5109d1c6f24fd4085d13d8553f38,451
60,601337aa37d566614f896ef8f34253c6,16
61,7d49635b51395e06d21f53316267b51e,84
