user_id,num_1,num_2,num_3,weight_1,weight_2,weight_3
0,69a7f406ffe02bb352c23976fc35d1c4,37,55,20,525,590,256
1,ec0f7496c58b31abbc72807297a0ee07,69,49,1,1215,1002,18
2,bae1ebc2ee2ef6c21bab597a1addc60f,36,17,1,366,438,18
3,5259f4dd2449d1dfcff88d151073a330,36,36,1,459,612,18
4,668bd8f7068c54a731520c95aa1bdec5,42,50,1,378,474,18
5,110266ec25f02922722188a0d05a2d7a,62,68,13,569,1222,235
6,9082c943f5be9dea23c6a3d5a31e563d,71,29,8,823,1019,81
7,52f45aa5d0b371fc014f624d13dbb0d7,53,60,11,1102,830,207
8,9ecb78760bba830fcb3ab95b6d395431,68,96,24,589,637,204
9,415d48ccb7bd12feb8cc11d17561bca9,17,15,1,1194,456,18
10,34154c5598b0cdbc7b99ab31e9ba5847,70,50,1,633,361,18
11,123242a445267ef0082902968a0ea556,16,23,1,1248,555,18
12,f14495a42fdfb72b5262b00974e84922,73,49,1,1084,763,18
13,9deb16bd3878fa7d6bc4d894e76cc80c,75,74,1,780,990,18
14,2d3485a39ae05429d99779704c37bcae,29,16,1,396,617,18
15,f2a196f453bed0b97d4ddc8e21c5df2f,166,168,53,1106,1157,204
16,5a55f6b603c406cdf0eb1ff1e95cc791,70,60,9,539,483,144
17,588a0b8925ab78aaab996986402a28bb,82,62,1,566,758,18
18,a8bf12ce6da4125b5d1676d2148dbeef,43,35,8,589,572,218
19,eae94fa3f8868b37052e96f36c8ccccf,93,84,1,1006,616,18
20,afb5b159f71d4c6c7faa54943e7259a4,81,64,22,424,404,242
21,ba092e7bf56475547f1665891620a2cf,112,126,1,941,1102,18
22,4bfef29b830311cd8cce6a838d46fcd1,35,61,1,883,723,18
23,55307d26e881e4976e81f210e699b393,59,46,13,455,719,210
24,a0c7c40fdb3eb83940cf5e3c0a50d66b,40,48,1,559,629,18
25,56054eee0fdf7ab0dae6387741751349,74,82,20,515,504,183
26,27f6c9476e908b880189d226085cf985,65,62,1,497,490,18
27,4d69b220c7c6a0d4d5aa0bcfea8fd6c3,68,77,16,709,440,141
28,f84b6eeb2bb14a2b3e4bb8779c815ac2,34,27,8,463,478,262
29,06c41223494bc942850f42e8a842179b,34,37,1,355,330,18
30,9466aa3e65252f34cc27c5cc6bc41fd3,32,23,1,643,2526,18
31,2782a1a43ce72447de5b13223335844f,4,13,0,527,1783,0
32,95dacb2603e5c96e9fb529c873c32192,82,56,15,555,641,141
33,87c730a31240728b7b98d2a1eed0efb3,3,5,1,99,593,46
34,146a0caf92a3398071f35d9c398b88fa,5,1,0,1083,144,0
35,b36dc0478782df8bda2f97221aa790e6,105,96,1,636,971,18
36,eadbd75dc962464b1bc545cd3a8055a6,47,38,1,1532,1149,18
37,7f71c1e2cc78b0c1363fc557334b056e,113,100,1,765,681,18
38,28d776bd8a69d0c6721ec98d1b82788c,12,23,16,253,494,241
39,779f65ea0d06e135180d06f4d3506c53,35,75,1,521,613,18
40,831faf46616c4cde68a9963d4bfea716,18,14,1,569,255,18
41,dbce22559a55bbb77019fb5bcb251f89,61,59,20,591,552,283
42,b978f446de2b8e5cbed4e5bc20b78fcc,35,11,6,460,405,183
43,15cf3c63c9d483be6e44b4f2d1786c6b,57,39,1,647,861,18
44,aaa17df42cafadd7e26ab6d08bcf69f8,77,65,1,819,649,18
45,8dddca7530cff13699a516a2a0485b5f,99,112,1,705,1188,18
46,0b3d759b9ed72472b06bb5f4757e02b2,83,113,1,476,1050,18
47,cdcc5e78aad470f2ef30606fcf911c1f,37,9,1,313,1530,18
48,fa2ea030bbf25ca8741608f366e9cf01,75,73,15,331,477,134
49,d25198deb2a476c7708f87a60b6f9c47,26,34,1,508,393,18
50,b3e5c87c46933b12d1ace1ce6189571d,10,12,3,408,539,88
51,4394cab56a02d0de5270d848e2fbe3b0,14,15,6,359,317,263
52,01ac4832c21d7e9c2262c9f2ea6b4c39,28,38,8,815,1545,228
53,710152c924ab89dfb9c88ccff5f59a6d,33,41,6,478,622,197
54,169a07d1fee04cce14632285ada37eeb,80,127,1,951,1119,18
55,765fccbd926c20ba7ba84a30f1420345,0,1,0,0,18,0
56,9d2ac54f42c4dbe9ba09318e67604ac2,27,31,1,644,714,18
57,a5537c6ae34f9ff708b89c602b7ba6a2,25,19,1,570,1206,18
58,f9629ff0f686df257cafc78353a4310c,23,52,7,663,981,203
59,fca4b8938593f061bb2db2d2c5493434,25,8,15,1588,1226,197
60,ac2ff79af64f2d4820cfbd50377298f4,4,0,1,324,0,18
61,9c510cc053ca29ae44d624d360b17c88,68,74,1,511,790,18
62,0005aff61586635908ecb002396c5411,80,63,18,453,510,248
63,cc8918ad31f49e8feb13e0de52780fac,41,40,11,322,282,269
64,391eca9ddb504f4128c6b78d56ed7378,17,25,14,955,663,250
65,813f1919e350ae9c887ff7754019f99e,42,75,1,789,664,18
66,5ad4483851468b0a472bc5cd71c40302,84,165,17,907,1152,127
67,14e9a86d04ea40cfda5e97708b005622,78,90,1,776,987,18
68,59ba680adaebb0bb8cb69e70a58f85a3,69,93,28,431,641,218
69,6a4b6a2da78a1bc9a38fd15eff299230,88,123,1,586,834,18
70,264464d80efef7a3f900728c5e0ffc3b,63,56,1,1000,1374,18
71,30a06f37d4bdd8d723f942d28be167f3,11,9,2,190,308,301
72,c3fa3cc788721cff9d30813a37853883,40,37,8,448,391,230
73,05f86390278a33e21f451d9a57e97ceb,18,24,1,578,333,18
74,5e4527d4e0e8304d7312ceb9f71a728e,27,21,4,512,318,198
75,62d7f938abcac56694e2eb18526e1f0b,64,40,1,345,294,18
76,972b77fbe5717371dbf682922c510dad,47,54,5,1868,3827,158
77,1d5d4f3a99cadf7a2d40be8cdabbda4e,61,96,1,631,933,18
78,edea1699d22f8548d9faf8fdeb8acbf8,81,64,1,635,641,18
79,731344a24b2c5fd7648a81d6dbfa35bb,57,66,1,602,741,46
80,21c3c380b53f277a03fee521fe075706,86,108,11,578,594,121
81,ccbb2c56384c1c3b13fe11566d5eca07,33,33,1,685,557,18
82,539887cdcc3433e32e37d22963ccf7f4,56,59,1,432,626,18
83,d111a10b724d205670b9f5828c85be1d,27,30,11,442,459,202
84,43788d97eaf6b36926ae12ddb4da95a1,26,42,1,274,484,18
85,0587db3ad2dc2249331967fd6361c8cb,42,39,11,608,904,142
86,27f0a540a063b5971baeb68331eb1689,91,94,1,1102,1336,18
87,176f117cfff8e4dcb2669d2b6e5c687c,43,34,11,674,534,159
88,76885d43bf5a86163981b154839cb61e,72,73,1,863,588,18
89,efeca7953ef177885ad901b88f256a8c,16,14,1,466,513,18
90,e2f81c01fa314ee0ab37e5cbcbd89929,13,17,1,253,234,18
91,5a1d5c4c655aa9af9128a5428df15774,76,95,1,574,593,18
92,ec7b028b123d7b79cf44122999670a15,11,39,10,1113,725,206
93,27f80808acfe10ef2325e18bd8968ceb,45,103,8,606,1376,317
94,1348b6679b160946edaf7212a404f1fa,40,82,1,581,602,18
95,5a70ec7b449203242403ca360ee3cdc1,4,11,1,84,299,11
96,a0cef8abb0d4bdb58fa81f258c76ec55,2,4,6,60,271,244
97,dcd7f9e5b0b20412006f747ddbbeffed,17,3,17,172,53,179
98,88e22386d0086e612f9732d681d28a41,133,139,1,887,1141,18
99,a7107051d07be2b25491dec1df2e39f3,46,55,1,465,975,18
